text,diggCount,replyCommentTotal,createTimeISO,uniqueId,text_final,lda_topic,lda_topic_prob,lda_topic_words,bertopic_topic,bertopic_topic_prob,bertopic_topic_words
aav,0,0,2026-01-17T11:58:59.000Z,carisiapayaka,aav,0,0.06666666666666668,omon | betul | masya_allah | ya | wowo | curhat | om | rame | ajaa | maju_terus | maju_terus bapak | uangkan_saja | p_prabowo | betul itu | semangattt,-1,0.0,No Topic
pretttttt,3,0,2025-11-16T15:36:05.000Z,preittyiesss00,pretttttt,0,0.06666666666666668,omon | betul | masya_allah | ya | wowo | curhat | om | rame | ajaa | maju_terus | maju_terus bapak | uangkan_saja | p_prabowo | betul itu | semangattt,-1,0.0,No Topic
halah,0,0,2025-11-17T01:18:02.000Z,buanamooz,halah,13,0.5333333333220599,omon_omon | ladang | korup | halah | salah_gunakan | di salah_gunakan | lihat dilapangan | sesungguhnya | celah | jangn | koropsi | menciptakan_lapangan_kerja | doang | mulu | program bp,-1,0.0,No Topic
KOCAK LU AH,0,0,2025-11-16T15:13:02.000Z,oohsehuni3,kocak anda ah,4,0.5095372887551107,ah | ganti_uang | kocak | mengejek | tag | dosa | burger | yang mengejek | uwang | pakkkk | di ganti_uang | percuma | kesempatan | sedih_sangat | bukannya,-1,0.0,No Topic
MBG?,1,0,2025-11-16T16:30:43.000Z,xoxx0o,makan bergizi gratis,5,0.7115525721850522,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
"kocak sih sistem rekruitmen nya,di cantumkan yang di perlukan adalah AG sebagai pengawas gizi/ sebagai sppg kok malah yang di masukan non AG yg punya ordal buat masuk biar bisa kerja di mbg, dan yang lebih kocaknya pelatihan hanya 3 bulan wkwkwk, sedangkan ahli gizi biar bisa ngejalanin profesinya harus melalui proses pendidikan yang sesuai dan sama pengambilan profesi ada di uu no. 17 tahun 2023",2,0,2025-11-16T14:38:14.000Z,ririicungie,kocak saja sistem rekruitmen nya di cantumkan yang di perlukan adalah ahli gizi sebagai pengawas gizi sebagai satuan pelayanan pangan gizi kenapa malah yang di masukan non ahli gizi yang punya orang dalam buat masuk supaya bisa kerja di makan bergizi gratis dan yang lebih kocaknya pelatihan hanya bulan wkwkwk sedangkan ahli_gizi supaya bisa ngejalanin profesinya harus melalui proses pendidikan yang sesuai dan dengan pengambilan profesi ada di undang-undang tidak tahun,5,0.7909965948495241,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
"tidak perlu Ahli Gizi di MBG, yakin pak? sedangkan ahli gizi bisa merangkul semuanya dari pangan, nutrisinya, akg, kimia pangan, termasuk anatomi tubuh juga di pelajarin, intinya pak kalo semisal nih amit"" nya ada ""keracunan"" jangan bawa"" nama Ahli Gizi apabila di dapur MBG tidak ada seorang profesi Ahli Gizi dan satu lagi apabila di dapur MBG tidak ada Ahli Gizi jangan beranggapan ""mereka"" ini seorang Ahli Gizi",24,1,2025-11-16T15:37:24.000Z,its.mezra,tidak perlu ahli_gizi di makan bergizi gratis yakin bapak sedangkan ahli_gizi bisa merangkul semuanya dari pangan nutrisinya akg kimia pangan termasuk anatomi tubuh juga di pelajarin intinya bapak kalau semisal ini amit nya ada keracunan jangan bawa nama ahli_gizi apabila di dapur makan bergizi gratis tidak ada seorang profesi_ahli_gizi dan satu lagi apabila di dapur makan bergizi gratis tidak ada ahli_gizi jangan beranggapan mereka ini seorang ahli_gizi,5,0.8611385049225515,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
boleh gak sih di lihat ahli gizi tu kerjanya gimna? di hargai dengan cara di perhatikan di tanya kenapa bisa pindah dapur. dan cari solusi bukan malah cari jalan lain yang hanya akan menimbulkan masalah baru. gak adil banget bagi tenaga gizi yang bener bener kerja tapi malah kayak gini.,36,1,2025-11-15T22:45:02.000Z,aylifah29,boleh tidak saja di lihat ahli_gizi itu kerjanya bagaimana di hargai dengan cara di perhatikan di tanya_kenapa bisa pindah dapur dan cari solusi bukan malah cari jalan lain yang hanya akan menimbulkan masalah baru tidak adil sangat bagi tenaga_gizi yang benar benar kerja tetapi malah kayak_begini,5,0.877230730576998,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
"perbaiki gak sistemnya? gk usah rapel gaji, jangan pakai perbandingan tenaga ag mbg 1:3000, jam kerja yg gk manusiawi dengan ag yg cmn 1 siapa coba ag yg gk lari. di institusi lain aja kadang pakai rasio 1:100.",76,2,2025-11-16T02:35:48.000Z,cool_cheese27,perbaiki tidak sistemnya tidak_usah rekap gaji jangan pakai perbandingan tenaga ahli gizi makan bergizi gratis jam kerja yang tidak manusiawi dengan ahli gizi yang cuma siapa coba ahli gizi yang tidak lari di institusi lain saja kadang pakai rasio,5,0.8473798978900039,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
"Kepada yth bapak kepala BGN, dengan mengganti Ahli gizi dengan jurusan lain yg menurut bapak ""masih sejalur"" itu bukankah itu tidak sesuai dengan tujuan Pak Presiden kita yang awalnya membentuk MBG dengan tujuan terpenuhnya gizi anak sekolah",99,2,2025-11-16T13:29:10.000Z,vanilla_late26,kepada yang terhormat bapak kepala_badan gizi nasional dengan mengganti ahli_gizi dengan jurusan lain yang menurut bapak masih sejalur itu bukankah itu tidak_sesuai dengan tujuan bapak_presiden kita yang awalnya membentuk makan bergizi gratis dengan tujuan terpenuhnya gizi anak sekolah,5,0.7264046899382763,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
"Menurut Undang-Undang No. 17 Tahun 2023 tentang Kesehatan, ""ahli gizi"" secara umum merujuk pada Tenaga Gizi, yang terdiri dari Nutrisionis dan Dietisien. Untuk bisa menjalankan profesinya, ahli gizi harus melalui proses pendidikan yang sesuai dan telah mengikuti pengambilan sumpah profesi.",140,3,2025-11-15T15:37:15.000Z,nananaaaaa1111,menurut undang undang tidak tahun tentang kesehatan ahli_gizi secara umum merujuk pada tenaga_gizi yang terdiri dari nutrisionis dan dietisien untuk bisa menjalankan profesinya ahli_gizi harus melalui proses pendidikan yang sesuai dan sudah mengikuti pengambilan sumpah profesi,5,0.690446647318995,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
"Tolong BGN kalau terima masukan atau kritik atau aspirasi, di dengar dan menjadi bahan evaluasi, bukan malah kita yang dianggap arogan dan jual mahal karena lulusan gizi sedang dicari2, ituuuu yang dilapangan di perhatikan ditanyakan kendalanya apa,",109,1,2025-11-16T11:32:41.000Z,yuni_ahligizi,tolong badan gizi nasional kalau terima masukan atau kritik atau aspirasi di dengar dan menjadi bahan evaluasi bukan malah kita yang dianggap arogan dan jual mahal karena lulusan_gizi sedang dicari ituuuu yang dilapangan di perhatikan ditanyakan kendalanya apa,5,0.8601595196566405,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
"evaluasi tuh yayasan, mitra, Ka Sppg, dannlingkungan dapur MBG. bukan malah mengancam AG mulu. evaluasi kenapa AG banyak kabur dan ngga betah, bahkan ngga mau kerja di MBG. bagian ancaman, memaksakan sesuatu terus upgrade. masalah gaji ngga dibahas bahas. bahkan sampai ada ancaman tidak bisa menjadi ASN dan mengikuti CAT bagi AG. giliran hak karyawan ngga dibahas bahas.",106,2,2025-11-15T23:19:41.000Z,bernadasunyimalam,evaluasi itu yayasan mitra ka satuan pelayanan pangan gizi dannlingkungan dapur makan bergizi gratis bukan malah mengancam ahli gizi mulu evaluasi kenapa ahli gizi banyak kabur dan ngga betah bahkan ngga mau kerja di makan bergizi gratis bagian ancaman memaksakan sesuatu terus upgrade masalah gaji ngga dibahas bahas bahkan sampai ada ancaman tidak bisa menjadi aparatur sipil negara dan mengikuti cat bagi ahli gizi giliran hak karyawan ngga dibahas bahas,5,0.8038258310225543,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
"saya lulusan S1 gizi tahun 2023 saat itu saya sulit mencari kerja tidak punya STR,karna tidak ada STR dan masih ingin belajar mengenai ilmu dietetika jadi saya lanjut profesi dietisien dan baru bisa tahun ini diterima mjd mhs baru profesi dietisien,agar bisa menjadi ahli gizi ber-STR sesuai dengan peraturan yang berlaku,namun ini ada profesi lain yang gelarnya bukan ahli gizi dengan terang2 an dijadikan ahli gizi? ganti saja nama jabatan nyaa petugas QC makanan, menurut UU No. 36 Tahun 2014 tentang Tenaga Kesehatan: Tenaga gizi sebagai salah satu tenaga kesehatan terdiri atas nutrisionis dan dietisien.selain tersebut diatas tidak bisa disebut sebagai ahli gizi!",10,0,2025-11-16T07:05:13.000Z,vinaanjani,saya lulusan s gizi tahun saat itu saya sulit mencari kerja tidak punya surat tanda registrasi karena tidak ada surat tanda registrasi dan masih ingin belajar mengenai ilmu dietetika jadi saya lanjut profesi dietisien dan baru bisa tahun ini diterima menjadi mahasiswa baru profesi dietisien agar bisa menjadi ahli_gizi ber surat tanda registrasi sesuai_dengan peraturan yang berlaku namun ini ada profesi lain yang gelarnya bukan ahli_gizi dengan terang an dijadikan ahli_gizi ganti saja nama jabatan nyaa petugas quality control makanan menurut undang-undang tidak tahun tentang tenaga kesehatan tenaga_gizi sebagai salah_satu tenaga kesehatan terdiri atas nutrisionis dan dietisien selain tersebut diatas tidak bisa disebut sebagai ahli_gizi,5,0.8187368305752204,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic
