model,topic_id,keywords,doc_count,doc_pct,sample_1,sample_2,sample_3
BERTopic,0,"makan, gratis, bergizi, saya, yang, anak, tidak, di, bapak, sekolah",3622,53.4%,makan bergizi gratis tidak hanya buat anak sekolah ya gaes ibu_hamil menyusui juga dpt,sbnrnya program makan bergizi gratis bagus yang meruesakny yang mengelolny tetapi tidak semua pengelola buruk ada juga yang amanah baik,saya guru paud sangat senang dengan program makan bergizi gratis tapii guru paud itu tidak dpt apa ya gaes berita ttg insetif yang didapat guru itu hanya untuk yang jml siswanya diatas kami ikhlas tentu anak suka kami capek ya apakah guru paud desa tidak seberarti itu tentu saja ini masalah dianggap dan tidaknya gaji kami kecil tidak bisa ikut ppg dan lain-lain bahkan ikut melaksanakan program makan bergizi gratis pun kami dibayar dengan ikhlas tidak apa-apa nanti pasti ada hitungannya
BERTopic,1,"indonesia, rakyat_indonesia, semoga, dan, bapak, presiden, yang, bapak_presiden, akan, ada",122,1.8%,memang_benar guys coba banding kan anak indonesia yang di adopsi orang belanda itu postur nya jadi lebih tinggi besar karena kebutuhan gizi nya terpenuhi,seluruh_indonesia januari februari tanggamus tidak ada gantian lah orang lain juga ingin ngerasain,i_love indonesia
BERTopic,2,"korupsi, koruptor, lahan_korupsi, korup, ladang_korupsi, di, bapak, yang, program, jadi_ladang",121,1.8%,alhamdulillah dari_pada uang di korupsi dengan pejabatnya rakyat lumayan kemakan sedikit,sedikit pun bapak tdk mau memikirkan ladang_korupsi pertanyaannya kenapa dibiarkan,yang pasti fakta di_lapangan anggaran di pangkas di sunat di korupsi bapak program nya bagus_tetapi antek di_lapangan pada korupsi di_lapangan harus nya paketan nya harga rb paling menu nya dengan kwalitas tidak_sesuai harga nya yang rb yang sampai ke lapangan
BERTopic,3,"program, bagus, programnya, nya, yang, program_ini, benar, tidak, tetapi, bapak",71,1.0%,pembenci program_ini mana ngerti,mulianya program_ini,program nya bagus pelaksanaan yang tidak bagus banyak kekurangan
BERTopic,4,"kerja, ekonomi, lapangan_kerja, lapangan_pekerjaan, mereka, juga, kesempatan, itu, yang, perekonomian",52,0.8%,menciptakan_lapangan_kerja juga menciptakan_lapangan koruptorrrt,di tempat saya jadi ada lowongan kerja dari umur juga boleh masuk alhamdulillah tidak perlu ijasah pun boleh kerja,kann benar semua bakalan merasakan ekonomi yang stabil lagii
BERTopic,5,"bpk, bpk_prabowo, bp, yang, kn, blt, bpk_presiden, sendiri, zman, bsar",45,0.7%,sehat_sll bpk,terutama kjp blt dicek ulg kmbli bpk_presiden prabowo yang dpt kjp blt untk rkyt yang bnrx tk mampu miskin jangan orgx yang masih mampu kya dpt,lanjut bpk_prabowo hiraukan saja yang tidak setuju
BERTopic,6,"bos, kerja, info_lowongan, aslap, pk, dengan, boss, yang, admin, scroll",39,0.6%,yang kerja capek yang makan kenyang,cek video yang beredar pa bos sesuai tidak,heiiii pejabat lihatlah dengan mata hatimuuu dimana jalan yang benar itu
BERTopic,7,"menangis, beliau, sedih, air, mataku, saya, hatinya, kenapa, cry, bapak",39,0.6%,yang sudah tau gajinya air matanya naik lagi,begini saja saya menangis,kecewa sya bapak bapa di dukung di bela mala mebut kecewa karena mendukung jokowi
BERTopic,8,"program, program_ini, bapak, bagus, buat, sudah, lanjutkan, per_minggu, juga, anda",31,0.5%,program pbb ini,program anda baik pk tujuan anda juga baik buat masyarakat tapiiiiii tapiii tapiiii,bapak programnya sudah bagus_tetapi apa penyelenggaranya juga dah bagus itu yang perlu di cek ulang
BERTopic,9,"tim, yang, belum_dapet, team, gr, selalu, nambah, selalu_habis, bawa_pulang, ambil",30,0.4%,tim yang tidak dapat makan bergizi gratis gara sekolah_swasta,tim yang belum_dapet,tim yang belum_dapat makan bergizi gratis
BERTopic,10,"selalu, selalu_habis, selalu_abis, alasanku, saya, itulah, habisss, selalu_menghabiskan, akuuu, habiss",28,0.4%,saya selalu ngehabisin mbgnya dan saya selalu makan ompreng,selalu abisin mbgg hadirrr,untung saya selalu_abis karena challenge sofialisme
BERTopic,11,"omon_omon, omon, mulu, bosan, doang, murahkan, teros, berbanding, dilakukan, adiiiiiiiil",25,0.4%,lapangan_kerja omon_omon bapak,omon,bosan dengan omon_omon
BERTopic,12,"gaji, kan, di, bayar, termin, wajar, mereka, gajinya, anda, itu",24,0.4%,itu di gaji ap enggak,yakan dia di gaji ngapa kasian dah,lapar minta mkn kenyang minta merdeka bpk ooo bpk ksh saja kami kail dlm bntuk lap kerja dan upah yang pantas itu solusinya
BERTopic,13,"nasi, kang, beras, bgai, mkn, dingin, mna, nya, lauknya, kadang",23,0.3%,mending di ganti beras sekarung,ganti_dengan beras ajj pa presiden,mending kasih beras supaya sekeluarga bisa makan
BERTopic,14,"orang_tua, anaknya, nya, orng_tua, perhatiin, yang, urus, bapa, tua, sudah",23,0.3%,mening di ganti pakai_uang langsung_ke orang_tua nya supaya lebih_baik,lebih bgga org_tuanya yang bisa memberi_makan anaknya sendiri makahidupkan kembali program atau lapangan_kerja untuk para_orang_tua,niat bapak sangat baik cuma kadang soal kesehatan serahkan pada orang_tua
